datetime,lvl_cm,temp_C
2024-08-24 15:00:00,801.88,8.458
2024-08-24 15:30:00,803.57,8.35
2024-08-24 16:00:00,804.48,8.221
2024-08-24 16:30:00,804.52,8.177
2024-08-24 17:00:00,804.81,8.215
2024-08-24 17:30:00,804.93,8.214
2024-08-24 18:00:00,805.21,8.301
2024-08-24 18:30:00,805.44,8.356
2024-08-24 19:00:00,805.54,8.401
2024-08-24 19:30:00,805.51,8.427
2024-08-24 20:00:00,805.71,8.502
2024-08-24 20:30:00,805.79,8.541
2024-08-24 21:00:00,806.18,8.745
2024-08-24 21:30:00,806.7,9.07
2024-08-24 22:00:00,806.8,9.377
2024-08-24 22:30:00,806.75,9.624
2024-08-24 23:00:00,806.49,9.61
2024-08-24 23:30:00,806.55,9.685
2024-08-25 00:00:00,806.58,9.726
2024-08-25 00:30:00,806.46,9.707
2024-08-25 01:00:00,806.16,9.631
2024-08-25 01:30:00,806.1,9.609
2024-08-25 02:00:00,806.13,9.582
2024-08-25 02:30:00,806.25,9.507
2024-08-25 03:00:00,806.48,9.454
2024-08-25 03:30:00,806.5,9.398
2024-08-25 04:00:00,806.89,9.319
2024-08-25 04:30:00,806.99,9.203
2024-08-25 05:00:00,806.86,9.051
2024-08-25 05:30:00,806.66,8.881
2024-08-25 06:00:00,806.44,8.684
2024-08-25 06:30:00,807.16,8.527
2024-08-25 07:00:00,807.3,8.327
2024-08-25 07:30:00,807.29,8.129
2024-08-25 08:00:00,807.39,7.944
2024-08-25 08:30:00,807.32,7.757
2024-08-25 09:00:00,807.07,7.593
2024-08-25 09:30:00,806.92,7.424
2024-08-25 10:00:00,806.96,7.278
2024-08-25 10:30:00,808.07,7.109
2024-08-25 11:00:00,808.5,6.937
2024-08-25 11:30:00,808.88,6.82
2024-08-25 12:00:00,808.93,6.676
2024-08-25 12:30:00,808.7,6.527
2024-08-25 13:00:00,808.36,6.357
2024-08-25 13:30:00,808.25,6.207
2024-08-25 14:00:00,809.12,6.063
2024-08-25 14:30:00,809.35,5.978
2024-08-25 15:00:00,809.5,5.824
2024-08-25 15:30:00,809.79,5.72
2024-08-25 16:00:00,809.72,5.632
2024-08-25 16:30:00,809.9,5.585
2024-08-25 17:00:00,810.18,5.592
2024-08-25 17:30:00,810.31,5.675
2024-08-25 18:00:00,810.77,5.876
2024-08-25 18:30:00,811.01,6.068
2024-08-25 19:00:00,811.44,6.507
2024-08-25 19:30:00,811.29,7.277
2024-08-25 20:00:00,811.64,7.861
2024-08-25 20:30:00,811.76,8.625
2024-08-25 21:00:00,811.73,9.32
2024-08-25 21:30:00,811.86,9.986
2024-08-25 22:00:00,811.73,10.541
2024-08-25 22:30:00,812.0,10.847
2024-08-25 23:00:00,811.93,10.853
2024-08-25 23:30:00,812.09,10.917
2024-08-26 00:00:00,812.16,10.972
2024-08-26 00:30:00,812.34,11.027
2024-08-26 01:00:00,812.39,11.061
2024-08-26 01:30:00,812.37,11.038
2024-08-26 02:00:00,812.21,10.953
2024-08-26 02:30:00,812.22,10.87
2024-08-26 03:00:00,812.39,10.753
2024-08-26 03:30:00,812.47,10.589
2024-08-26 04:00:00,812.7,10.412
2024-08-26 04:30:00,812.72,10.211
2024-08-26 05:00:00,812.79,10.018
2024-08-26 05:30:00,812.67,9.807
2024-08-26 06:00:00,812.58,9.64
2024-08-26 06:30:00,812.41,9.463
2024-08-26 07:00:00,812.38,9.286
2024-08-26 07:30:00,812.52,9.115
2024-08-26 08:00:00,812.36,8.932
2024-08-26 08:30:00,812.2,8.778
2024-08-26 09:00:00,812.1,8.595
2024-08-26 09:30:00,812.15,8.443
2024-08-26 10:00:00,812.37,8.3
2024-08-26 10:30:00,812.17,8.145
2024-08-26 11:00:00,812.08,8.038
2024-08-26 11:30:00,812.02,7.878
2024-08-26 12:00:00,812.12,7.752
2024-08-26 12:30:00,812.42,7.637
2024-08-26 13:00:00,812.35,7.491
2024-08-26 13:30:00,812.41,7.369
2024-08-26 14:00:00,812.42,7.226
2024-08-26 14:30:00,812.39,7.127
2024-08-26 15:00:00,812.44,7.013
2024-08-26 15:30:00,812.39,6.901
2024-08-26 16:00:00,812.39,6.832
2024-08-26 16:30:00,812.42,6.856
2024-08-26 17:00:00,812.56,6.891
2024-08-26 17:30:00,812.72,6.953
2024-08-26 18:00:00,813.23,7.191
2024-08-26 18:30:00,813.46,7.335
2024-08-26 19:00:00,813.97,7.768
2024-08-26 19:30:00,814.34,8.58
2024-08-26 20:00:00,814.32,9.119
2024-08-26 20:30:00,814.42,9.893
2024-08-26 21:00:00,814.35,10.655
2024-08-26 21:30:00,814.08,11.294
2024-08-26 22:00:00,814.24,11.83
2024-08-26 22:30:00,814.2,12.142
2024-08-26 23:00:00,814.08,12.157
2024-08-26 23:30:00,813.97,12.156
2024-08-27 00:00:00,813.89,12.149
2024-08-27 00:30:00,813.82,12.14
2024-08-27 01:00:00,813.78,12.12
2024-08-27 01:30:00,813.68,12.101
2024-08-27 02:00:00,813.5,12.042
2024-08-27 02:30:00,813.43,11.959
2024-08-27 03:00:00,813.26,11.856
2024-08-27 03:30:00,813.19,11.718
2024-08-27 04:00:00,813.13,11.563
2024-08-27 04:30:00,813.05,11.389
2024-08-27 05:00:00,813.04,11.211
2024-08-27 05:30:00,812.97,11.012
2024-08-27 06:00:00,812.91,10.813
2024-08-27 06:30:00,812.85,10.671
2024-08-27 07:00:00,812.65,10.47
2024-08-27 07:30:00,812.59,10.307
2024-08-27 08:00:00,812.38,10.157
2024-08-27 08:30:00,812.14,9.971
2024-08-27 09:00:00,811.88,9.772
2024-08-27 09:30:00,811.68,9.616
2024-08-27 10:00:00,811.43,9.455
2024-08-27 10:30:00,811.18,9.3
2024-08-27 11:00:00,811.1,9.154
2024-08-27 11:30:00,811.1,8.987
2024-08-27 12:00:00,811.02,8.849
