Site Name,Field visit date,Field task,Q Method,Stage (ft),Measured Q (cfs),Gage maintenance notes
Tuolumne@120,6/4/2024,Discharge,ADCP,5.61,672,Issues with ADCP - Power switch and bluetooth disconnecting; left bank and right bank are switched -> negative inverse; missing gage information
Tuolumne@120,6/18/2024,Discharge,ADCP,4.01,189,
Tuolumne@120,6/25/2024,Discharge,ADCP,4.34,251,
Tuolumne@120,7/8/2024,Discharge,ADCP,3.09,115,
Tuolumne@120,8/22/2024,Discharge,ADV,2.67,12.01,
Tuolumne@120,8/26/2024,Loggerswap,n/a,2.6,n/a,"Cut ~2"" off of top interior PVC to allow new levelogger setup to fit. Installed new screws at bottome and near top of stilling tub to secure. New log started at 2:30pm"
Tuolumne@120,9/10/2024,Discharge,ADV,2.585,10.37,
Tuolumne@120,10/30/2024,Data Download,n/a,n/a,n/a,Staff plate very dirty below 2.5ft
Tuolumne@120,11/6/2024,Data Download,n/a,2.455,n/a,
LyellAbvTB,6/17/2024,Discharge,ADCP,10.14,163,Error >5% for several measurements - possibly due to wind
LyellAbvTB,7/10/2024,Discharge,ADCP,9.625,70.41,
LyellAbvTB,8/20/2024,Discharge,ADV,9.02,10.8,
LyellAbvTB,8/21/2024,"Survey, loggerswap, stilling tube maintenance.",n/a,9.04,n/a,Adjusted stilling tube to fit new logger type. Metadata survey sheet updated.
LyellAbvTB,9/12/2024,Discharge,ADV,8.95,6.31,
LyellAbvTB,10/29/2024,Data Download,n/a,n/a,n/a,
DanaFrk@BugCamp,6/18/2024,Discharge,ADCP,1.46,67.7,
DanaFrk@BugCamp,7/10/2024,Discharge,ADCP,1.16,24.6,
DanaFrk@BugCamp,8/20/2024,Discharge,ADV,0.89,4.43,
DanaFrk@BugCamp,8/22/2024,"Survey, loggerswap",n/a,0.89,n/a,Metadata survey sheet updated (needs RH review)
DanaFrk@BugCamp,9/10/2024,Discharge,ADV,0.835,2.05,
DanaFrk@BugCamp,10/29/2024,Data Download,n/a,0.78,n/a,
DelaneyCrkAbvPCT,6/19/2024,Discharge,ADV,7.39,9.13,
DelaneyCrkAbvPCT,7/9/2024,Discharge,ADV,7.04,2.28,
DelaneyCrkAbvPCT,8/21/2024,"Camera memory swap, discharge, loggerswap, survey",ADV,6.49,0.64,Metadata survey sheet created.
DelaneyCrkAbvPCT,9/13/2024,Discharge,Volumetric,5.96,0.004,
DelaneyCrkAbvPCT,10/30/2024,Data Download,n/a,6.1,n/a,
BuddCrk,6/19/2024,Discharge,ADV,7.955,7.31,
BuddCrk,7/11/2024,Discharge,ADV,7.785,2.77,
BuddCrk,8/20/2024,Discharge,ADV,7.58,0.166,
BuddCrk,8/21/2024,"Survey, logger swap",n/a,7.55,n/a,Metadata survey sheet updated.
BuddCrk,9/12/2024,Discharge,n/a,n/a,0,No Flow.
BuddCrk,10/30/2024,Data Download,n/a,n/a,0,No Flow. Downloaded Levelogger data.
LyellBlwMaclure,6/12/2024,"Discharge, logger data download",Salt,8.08,87.806,
LyellBlwMaclure,6/12/2024,Discharge,Salt,8.02,101.674,
LyellBlwMaclure,8/28/2024,"Discharge, logger data download, loggerswap, survey",Salt,6.63,4.23,Metadata survey sheet updated.
LyellBlwMaclure,8/28/2024,Discharge,Salt,6.63,5.32,
LyellBlwMaclure,10/3/2024,Data download,n/a,n/a,n/a,
